Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
183,COMPLETE,0.66530797,sigmoid,tanh,relu,,,78,590,38,random,lambda,0.0013046820995817568,huber_loss,40,5,40,3,16,10,62,,,RMSprop,75
184,COMPLETE,0.44916144,sigmoid,tanh,relu,,,76,590,38,random,lambda,0.0016267907647329258,huber_loss,50,5,40,3,18,14,62,,,RMSprop,83
185,COMPLETE,-0.21821814,sigmoid,tanh,relu,,,78,580,29,k-means++,lambda,0.001343252537339465,huber_loss,40,5,40,3,12,10,56,,,RMSprop,81
186,COMPLETE,0.32404255,sigmoid,relu,relu,,,76,540,39,random,lambda,0.0007536751298620196,huber_loss,40,5,80,3,20,64,58,,,Adam,71
187,COMPLETE,0.66043804,sigmoid,relu,sigmoid,,,72,610,35,random,lambda,0.0011971405785542902,huber_loss,40,5,30,3,16,8,62,,,RMSprop,76
188,COMPLETE,-0.16155594,sigmoid,relu,sigmoid,,,74,600,35,random,lambda,0.0019273165838560443,huber_loss,40,5,30,3,16,12,60,,,RMSprop,75
189,COMPLETE,0.36922478,sigmoid,tanh,sigmoid,,,70,480,32,random,lambda,0.0012270713622301488,huber_loss,30,5,50,3,18,8,62,,,RMSprop,76
190,COMPLETE,-0.22432737,tanh,relu,sigmoid,,,80,530,36,random,lambda,0.001537231631030121,huber_loss,40,5,30,3,24,26,56,,,RMSprop,39
191,COMPLETE,-0.07916777,sigmoid,relu,sigmoid,,,72,620,22,random,lambda,0.0009332164131590054,huber_loss,40,5,20,3,14,8,62,,,RMSprop,73
192,COMPLETE,-0.03145035,sigmoid,relu,sigmoid,,,76,570,41,random,lambda,0.020742435515939663,huber_loss,40,5,30,3,14,10,60,,,RMSprop,85
193,COMPLETE,0.43714395,sigmoid,relu,tanh,,,72,620,28,random,lambda,0.0012669935080030228,huber_loss,40,5,80,3,16,14,58,,,RMSprop,75
194,COMPLETE,0.41333616,sigmoid,relu,relu,,,2,690,39,random,lambda,0.0008601124723741862,huber_loss,50,5,80,3,16,12,62,,,RMSprop,87
195,COMPLETE,0.68714333,sigmoid,relu,tanh,,,74,590,4,random,lambda,0.0010340115821401632,huber_loss,40,6,60,3,20,20,56,,,RMSprop,80
196,COMPLETE,0.44572463,sigmoid,relu,tanh,,,74,580,3,random,lambda,0.0011150271942694744,huber_loss,30,6,60,3,20,20,54,,,RMSprop,68
197,COMPLETE,-0.5480284,sigmoid,relu,tanh,,,78,550,31,random,lambda,0.0015715515339378443,huber_loss,40,7,60,3,18,18,56,,,RMSprop,77
198,COMPLETE,0.38337904,relu,relu,tanh,,,28,510,36,random,,0.0018574117863135772,huber_loss,50,6,70,3,22,20,58,,,RMSprop,80
199,COMPLETE,0.56625638,sigmoid,relu,tanh,,,78,590,33,k-means++,lambda,0.001006818982819794,huber_loss,40,6,60,3,20,16,56,,,RMSprop,84
200,COMPLETE,-0.34244363,relu,relu,tanh,,,76,530,7,random,lambda,0.0013232019282140163,huber_loss,20,5,50,3,18,24,60,,,RMSprop,81
201,COMPLETE,0.64066928,sigmoid,relu,relu,,,74,600,2,random,lambda,0.0006594313283984248,huber_loss,40,6,80,3,12,22,62,,,RMSprop,88
202,COMPLETE,0.17980204,sigmoid,relu,relu,,,76,600,5,random,lambda,0.0007460417605021376,huber_loss,40,6,80,3,12,12,58,,,RMSprop,88
203,COMPLETE,0.02149992,sigmoid,relu,sigmoid,,,44,560,3,random,lambda,0.0008992468016633408,huber_loss,40,6,80,3,14,22,60,,,RMSprop,83
204,COMPLETE,0.64632265,sigmoid,relu,tanh,,,74,600,1,random,lambda,0.0006481301608844198,huber_loss,40,6,80,3,16,22,54,,,RMSprop,86
205,COMPLETE,0.55512105,sigmoid,relu,tanh,,,74,610,0,random,lambda,0.0006321979260418442,huber_loss,40,6,80,3,16,24,54,,,RMSprop,86
206,COMPLETE,-0.89951809,sigmoid,relu,tanh,,,70,580,2,kmeans,lambda,0.000641124744323288,huber_loss,40,6,80,3,18,22,56,,,RMSprop,89
207,COMPLETE,0.03863234,relu,relu,tanh,,,74,650,2,random_from_data,lambda,0.00030241010723443783,huber_loss,40,6,70,3,20,26,62,,,RMSprop,74
208,COMPLETE,0.04592874,sigmoid,tanh,tanh,,,72,630,1,random,lambda,0.0008330858801315316,mse_loss,40,6,80,3,14,20,54,,,Adam,79
209,COMPLETE,-0.29968918,relu,relu,tanh,,,74,600,5,kmeans,lambda,0.0004885840316825464,huber_loss,30,6,80,3,16,18,64,,,RMSprop,87
