Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
b60122cb,2024-04-03 18-07,100,exponential 0.6,GMM,k-means++ C10 ,GMM + NN,0.9159,300,26,0.000874345,3,158,mse_loss,1,0.3537,0.0137,0.9577,0.0437,100000,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 42}",42
5b5631d7,2024-04-03 18-17,100,exponential 0.6,PARZEN,H0.3795755152130492,PNN,0.7003,300,26,0.000874345,3,158,mse_loss,1,1.0912,0.0488,0.7226,0.1558,100000,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}",{'h': 0.3795755152130492},42
49dbd59f,2024-04-04 01-27,100,exponential 0.6,PARZEN,H0.11685252311419939,PNN,0.9572,980,2,0.00660307851,3,106,huber_loss,1,0.4847,0.007,0.9638,0.0223,0.047,Experiment  H0.11685252311419939 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(22, Tanh()), (24, ReLU()), (60, ReLU())], 'last_activation': 'lambda'}",{'h': 0.11685252311419939},42
6b85853a,2024-04-04 01-35,100,exponential 0.6,,None,Parzen Window,0.918,,,,,,,1,0.9113,0.0134,0.9196,303.8749,0.702,Experiment  H0.11685252311419939 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1000015563586018},,42
71b74d57,2024-04-04 01-36,100,exponential 0.6,,None,Parzen Window,0.9622,,,,,,,1,0.5887,0.0061,0.967,340.2557,0.7446,Experiment  H0.11685252311419939 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1000015563586018},,60
3514ce9c,2024-04-04 15-49,50,exponential 0.6,,None,Parzen Window,0.9544,,,,,,,1,0.5681,0.0074,0.9597,359.4623,0.7446,Experiment  H0.11685252311419939 S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1018868018526368},,60
b06136bc,2024-04-05 16-57,100,exponential 0.6,,None,Parzen Window,0.9603,,,,,,,1,0.5865,0.0051,0.9633,628.6229,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1018868018526368},,60
ff8241a4,2024-04-05 16-58,50,exponential 0.6,,None,Parzen Window,0.9567,,,,,,,1,0.4693,0.0056,0.9607,645.2581,1.1245,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1018868018526368},,60
3341eb19,2024-04-05 17-02,50,exponential 0.6,GMM,k-means++ C10 ,GNN,0.896,980,2,0.00660307851,3,106,huber_loss,1,0.5399,0.0134,0.8972,0.067,0.3395,Experiment  C10 S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(22, Tanh()), (24, ReLU()), (60, ReLU())], 'last_activation': 'lambda'}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 60}",60
2cbba8d0,2024-04-05 17-16,50,exponential 0.6,,None,KNN,0.7302,,,,,,,1,1.9915,0.0347,0.7311,829.5135,1.1245,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'k1': 1.0494451711015031, 'kn': 23}",,60
36109ad5,2024-04-05 17-30,100,exponential 0.6,,None,KNN,0.7344,,,,,,,1,1.9183,0.0342,0.7353,840.9228,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'k1': 1.0494451711015031, 'kn': 23}",,60
c39a4876,2024-04-05 17-32,100,exponential 0.6,PARZEN,H0.11685252311419939,PNN,0.9533,380,2,0.00660307851,3,106,huber_loss,1,0.4439,0.006,0.955,0.0301,0.1123,Experiment  H0.11685252311419939 S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(22, Tanh()), (24, ReLU()), (60, ReLU())], 'last_activation': 'lambda'}",{'h': 0.11685252311419939},60
